feature,psi,ks_pvalue,fenetre,reference
temp_mean_24h,7.3844771636239095,0.0,2,normale
temp_std_24h,0.009403792176908067,0.0038391315149555044,2,normale
pressure_mean_24h,0.007364969633302132,0.005941578994060051,2,normale
pressure_std_24h,0.015229403328883211,0.0001665996296522448,2,normale
voltage_mean_24h,0.009125948723971381,0.014296532876732132,2,normale
rotation_mean_24h,0.02600395521913851,3.5806061767227497e-12,2,normale
pieces_produced_sum_24h,0.009454763479668884,2.7456499149819708e-08,2,normale
incident_count_prev_24h,0.010709329262676601,3.8771036521069406e-08,2,normale
