feature,psi,ks_pvalue,fenetre,reference
temp_mean_24h,2.614913779567798,0.0,4,normale
temp_std_24h,0.008468066485719673,2.7399543271117928e-05,4,normale
pressure_mean_24h,0.010852989810872866,4.49081556017759e-05,4,normale
pressure_std_24h,0.011744466029176871,2.120756969059359e-05,4,normale
voltage_mean_24h,0.01125827505508461,0.0009166595304086399,4,normale
rotation_mean_24h,0.025697129999274777,1.3343739754394115e-10,4,normale
pieces_produced_sum_24h,0.014753370003554499,1.3719944304499022e-15,4,normale
incident_count_prev_24h,0.0025830565821168623,0.04375648070520732,4,normale
