feature,psi,ks_pvalue,fenetre,reference
temp_mean_24h,0.00988031092692695,0.034079474459857595,4,haute_charge
temp_std_24h,0.005611604151038227,0.10547056711951963,4,haute_charge
pressure_mean_24h,0.010390475513185025,2.0454748543966917e-05,4,haute_charge
pressure_std_24h,0.02588056626081704,3.665065809258648e-21,4,haute_charge
voltage_mean_24h,0.015026647750829476,3.799765208376147e-05,4,haute_charge
rotation_mean_24h,0.012093289902461377,1.9026054301130431e-06,4,haute_charge
pieces_produced_sum_24h,0.017997264013847023,2.2830400276375325e-05,4,haute_charge
incident_count_prev_24h,0.005025061576260013,0.0011651775320807409,4,haute_charge
