feature,psi,ks_pvalue,fenetre,reference
temp_mean_24h,0.165252532795724,4.86501364839085e-158,3,normale
temp_std_24h,0.0065430298956154175,0.003358630898229255,3,normale
pressure_mean_24h,0.018694945282474763,0.00010040990564522536,3,normale
pressure_std_24h,0.012120482570080552,2.415605411167864e-06,3,normale
voltage_mean_24h,0.01149126636327872,0.10412529020043881,3,normale
rotation_mean_24h,0.013549827012076052,2.120169312784328e-05,3,normale
pieces_produced_sum_24h,0.009894501308628002,0.0029363641101396772,3,normale
incident_count_prev_24h,0.0003426072478461214,0.46310945629400135,3,normale
