horodatage,n_train_augmente,n_pannes_augmentees,n_arbitrage,gains,stables,regressions,angles_morts,rappel_champion_juin,rappel_challenger_juin,decision
2026-09-22T12:32:49.870200+00:00,17090,609,2854,9,2798,7,40,0.8814,0.8898,REJET_DU_MODELE_N
2026-09-22T12:41:00.473699+00:00,17090,609,2854,9,2798,7,40,0.8814,0.8898,REJET_DU_MODELE_N
2026-09-22T12:42:33.004742+00:00,17090,609,2854,9,2798,7,40,0.8814,0.8898,REJET_DU_MODELE_N
2026-09-22T12:43:52.193258+00:00,17090,609,2854,9,2798,7,40,0.8814,0.8898,REJET_DU_MODELE_N
2026-09-22T14:00:59.986533+00:00,17090,609,2854,9,2798,7,40,0.8814,0.8898,REJET_DU_MODELE_N
2026-09-22T14:01:26.856814+00:00,17090,609,2854,9,2798,7,40,0.8814,0.8898,REJET_DU_MODELE_N
